Date,Open,High,Low,Close,Volume,Adj Close
2016-01-14,157.00,164.380005,155.580002,163.520004,879600,161.467039
2016-01-13,162.00,162.00,157.360001,157.809998,664000,155.828721
2016-01-12,160.309998,161.389999,158.470001,160.860001,774500,158.840432
2016-01-11,160.00,163.479996,155.240005,158.789993,1210500,156.796413
2016-01-08,167.110001,170.00,162.889999,163.460007,965600,161.407795
2016-01-07,165.300003,167.490005,162.779999,165.369995,1316800,163.293804
2016-01-06,172.00,175.720001,170.490005,173.669998,958100,171.489602
2016-01-05,173.039993,175.00,171.50,173.860001,731500,171.677219
2016-01-04,172.149994,173.460007,165.059998,172.119995,1119200,169.959059
2015-12-31,180.029999,182.429993,179.339996,181.240005,492200,178.964569
2015-12-30,184.029999,184.759995,180.160004,180.649994,684700,178.381965
2015-12-29,182.380005,186.449997,182.380005,184.729996,404100,182.410743
2015-12-28,182.199997,184.00,177.869995,181.729996,464100,179.448408
2015-12-24,181.809998,186.00,181.50,183.850006,338100,181.541802
2015-12-23,183.520004,183.520004,181.050003,182.119995,530700,179.833511
2015-12-22,181.00,181.520004,177.759995,181.419998,981700,179.142302
2015-12-21,182.520004,185.240005,178.270004,180.00,681600,177.740132
2015-12-18,182.050003,182.979996,177.389999,181.809998,993100,179.527405
2015-12-17,185.00,185.850006,181.100006,182.360001,746600,180.070503
2015-12-16,183.320007,184.949997,180.830002,184.339996,733700,182.02564
2015-12-15,178.00,183.929993,177.979996,180.669998,1273400,178.401718
2015-12-14,172.809998,177.699997,172.009995,177.580002,1006900,175.350516
2015-12-11,175.059998,176.410004,169.449997,172.529999,1603100,170.363915
2015-12-10,176.940002,179.940002,174.529999,177.169998,1031600,174.94566
2015-12-09,179.839996,181.660004,176.119995,176.50,1306000,174.284074
2015-12-08,173.199997,181.289993,171.610001,180.509995,1225400,178.243723
2015-12-07,178.080002,178.940002,174.600006,177.940002,1325400,175.705997
2015-12-04,170.100006,179.910004,170.00,179.139999,1650000,176.890928
2015-12-03,171.559998,176.100006,169.410004,170.279999,1905500,168.142163
2015-12-02,165.479996,172.00,163.839996,170.919998,1687500,168.774128
2015-12-01,164.50,165.330002,161.270004,164.440002,1880300,162.375487
2015-11-30,165.009995,166.669998,161.270004,166.660004,7182200,164.567617
